Name,Link,Date,Category,Downloads,Author,Summary
ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),https://archive.ics.uci.edu/ml/datasets/ser+Knowledge+Modeling+Data+%28Students%27+Knowledge+Levels+on+DC+Electrical+Machines%29,2013-06-20,Computer,19443, -- Creators: Hamdi Tolga Kahraman Ilhami Colak Seref Sagiroglu   -- Institution: Faculty of Technology Department of Software Engineering Karadeniz Technical University Trabzon Turkiye   -- Donor: Students of Department of Electrical Education of Gazi University      -- Date: October 2009Kahraman H. T. (2009). Designing and Application of Web-Based Adaptive Intelligent Education System. Gazi University Ph. D. Thesis Turkey 1-156.,-- The users' knowledge class were classified by the authors      using intuitive knowledge classifier (a hybrid ML technique of k-NN and meta-heuristic exploring methods) k-nearest neighbor algorithm.       See article for more details on how the users' data was collected and evaluated by the user modeling server. Kahraman H. T. Sagiroglu S. Colak I. Developing intuitive knowledge classifier and modeling of users' domain dependent data in web         Knowledge Based Systems vol. 37 pp. 283-295 2013.          Kahraman H. T. (2009). Designing and Application of Web-Based Adaptive Intelligent Education System. Gazi University Ph. D. Thesis Turkey 1-156.
Firm-Teacher_Clave-Direction_Classification,https://archive.ics.uci.edu/ml/datasets/Firm-Teacher_Clave-Direction_Classification,2015-04-24,N/A,15765,Name: Mehmet VurkaÃ§ Ph.D.E-mail address: mehmet.vurkac '@' gmail.com mehmet.vurkac '@' oit.edu engineer '@' fastmail.com Institutions: Oregon Institute of Technology (current) Portland State University (where data were obtained)Other contact information: Daytime phone: 1-541-885-1258,The data consist of 16 binary inputs and one 'four-bit' one-hot classification output. The 16-bit inputs are binary-valued attack-point vectors. 1 indicates the substantial presence (0 absence) of an onset (note start) in a certain time window during one bar of 4/4 time music (not limited to percussion hence *onset* vectors without duration) quantized to 16th-note subdivisions. Each vector has 16 positions in which there may be or not be an onset. The output classes (left to right: neutral reverse clave forward clave and incoherent) were determined through the music-theoretic/ethnomusicological portion of the my dissertation studies based on both double-blind listening tests and informal interviews with with four professional master-musicians as well as decades of studying the music. Future uploads (subject only to formatting) can include an additional column of fuzzy descriptors (of the degree of match to the output class).
Facebook metrics,https://archive.ics.uci.edu/ml/datasets/Facebook+metrics,2016-08-05,Business,53779,Created by: SÃ©rgio Moro Paulo Rita and Bernardo Vala (ISCTE-IUL) @ 2016,The data is related to posts' published during the year of 2014 on the Facebook's page of a renowned cosmetics brand.This dataset contains 500 of the 790 rows and part of the features analyzed by Moro et al. (2016). The remaining were omitted due to confidentiality issues.
Artificial Characters,https://archive.ics.uci.edu/ml/datasets/Artificial+Characters,1992-07-01,Computer,154677,Original Owners of Database: 1. H. Altay Guvenir PhD. Bilkent UniversityDepartment of Computer Engineering and Information Science06533 Ankara TurkeyPhone: +90 (312) 266 4133Email: guvenir '@' cs.bilkent.edu.tr  2. Burak Acar M.S.Bilkent University EE Eng. Dept. 06533 Ankara TurkeyEmail: buraka '@' ee.bilkent.edu.tr  3. Haldun Muderrisoglu M.D. Ph.D. Baskent University School of MedicineAnkara Turkey Donor:  H. Altay GuvenirBilkent UniversityDepartment of Computer Engineering and Information Science06533 Ankara TurkeyPhone: +90 (312) 266 4133Email: guvenir '@' cs.bilkent.edu.tr,This database has been artificially generated by using a first order theory which describes the structure of ten capital letters of the English alphabet and a random choice theorem prover which accounts for etherogeneity in the instances. The capital letters represented are the following: A C D E F G H L P R. Each instance is structured and is described by a set of segments (lines) which resemble the way an automatic program would segment an image. Each instance is stored in a separate file whose format is the following: CLASS OBJNUM TYPE XX1 YY1 XX2 YY2 SIZE DIAG where CLASS is an integer number indicating the class as described below OBJNUM is an integer identifier of a segment (starting from 0) in the instance and the remaining columns represent attribute values. For further details contact the author.
Statlog (Vehicle Silhouettes),https://archive.ics.uci.edu/ml/datasets/Statlog+%28Vehicle+Silhouettes%29,N/A,N/A,78404,SOURCE: Drs.Pete Mowforth and Barry ShepherdTuring InstituteGeorge House36 North Hanover St.GlasgowG1 2AD CONTACT: Alistair SutherlandStatistics Dept.Strathclyde UniversityLivingstone Tower26 Richmond St.GLASGOW G1 1XHGreat Britain Tel: 041 552 4400 x3033 Fax: 041 552 4711  e-mail: alistair '@' uk.ac.strathclyde.stams ,The purpose is to classify a given silhouette as one of four types of vehicle using  a set of features extracted from the silhouette. The vehicle may be viewed from one of many different angles.   HISTORY: This data was originally gathered at the TI in 1986-87 by JP Siebert. It was partially financed by Barr and Stroud Ltd. The original purpose was to find a method of distinguishing 3D objects within a 2D image by application of an ensemble of shape feature extractors to the 2D silhouettes of the objects. Measures of shape features extracted from example silhouettes of objects to be discriminated were used to generate a classification rule tree by means of computer induction. This object recognition strategy was successfully used to discriminate between silhouettes of model cars vans and buses viewed from constrained elevation but all angles of rotation. The rule tree classification performance compared favourably to MDC (Minimum Distance Classifier) and k-NN (k-Nearest Neighbour) statistical classifiers in terms of both error rate and computational efficiency. An investigation of these rule trees generated by example indicated that the tree structure was heavily influenced by the orientation of the objects and grouped similar object views into single decisions.  DESCRIPTION: The features were extracted from the silhouettes by the HIPS (Hierarchical Image Processing System) extension BINATTS which extracts a combination of scale independent features utilising both classical moments based measures such as scaled variance skewness and kurtosis about the major/minor axes and heuristic measures such as hollows circularity rectangularity and compactness. Four "Corgie" model vehicles were used for the experiment: a double decker bus Cheverolet van Saab 9000 and an Opel Manta 400. This particular combination of vehicles was chosen with the expectation that the bus van and either one of the cars would be readily distinguishable but it would be more difficult to distinguish between the cars. The images were acquired by a camera looking downwards at the model vehicle from a fixed angle of elevation (34.2 degrees to the horizontal). The vehicles were placed on a diffuse backlit surface (lightbox). The vehicles were painted matte black to minimise highlights. The images were captured using a CRS4000 framestore connected to a vax 750. All images were captured with a spatial resolution of 128x128 pixels quantised to 64 greylevels. These images were thresholded to produce binary vehicle silhouettes negated (to comply with the processing requirements of BINATTS) and thereafter subjected to shrink-expand-expand-shrink HIPS modules to remove "salt and pepper" image noise. The vehicles were rotated and their angle of orientation was measured using a radial graticule beneath the vehicle. 0 and 180 degrees corresponded to "head on" and "rear" views respectively while 90 and 270 corresponded to profiles in opposite directions. Two sets of 60 images each set covering a full 360 degree rotation were captured for each vehicle. The vehicle was rotated by a fixed angle between images. These datasets are known as e2 and e3 respectively.  A further two sets of images e4 and e5 were captured with the camera at elevations of 37.5 degs and 30.8 degs respectively. These sets also contain 60 images per vehicle apart from e4.van which contains only 46 owing to the difficulty of containing the van in the image at some orientations.
Yacht Hydrodynamics,https://archive.ics.uci.edu/ml/datasets/Yacht+Hydrodynamics,2013-01-03,Physical,40260,Creator:  Ship Hydromechanics Laboratory Maritime and Transport Technology Department Technical University of Delft.  Donor:  Dr Roberto LopezE-mail: roberto-lopez '@' users.sourceforge.net ,Prediction of residuary resistance of sailing yachts at the initial design stage is of a great value for evaluating the shipâ€™s performance and for estimating the required propulsive power. Essential inputs include the basic hull dimensions and the boat velocity.  The Delft data set comprises 308 full-scale experiments which were performed at the Delft Ship Hydromechanics Laboratory for that purpose. These experiments include 22 different hull forms derived from a parent form closely related to the â€˜Standfast 43â€™ designed by Frans Maas.
Concrete Slump Test,https://archive.ics.uci.edu/ml/datasets/Concrete+Slump+Test,2009-04-30,Computer,62701,Donor: I-Cheng YehEmail: icyeh '@' chu.edu.tw Institution: Department of Information Management Chung-Hua University (Republic of China)Other contact information: Department of Information Management Chung-Hua University Hsin Chu Taiwan 30067 R.O.C.,The data set includes 103 data points. There are 7 input variables and 3 output variables in the data set.The initial data set included 78 data. After several years we got 25 new data points.
Abalone,https://archive.ics.uci.edu/ml/datasets/Abalone,1995-12-01,Life,506132,Data comes from an original (non-machine-learning) study:Warwick J Nash Tracy L Sellers Simon R Talbot Andrew J Cawthorn and Wes B Ford (1994) "The Population Biology of Abalone (_Haliotis_ species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North Coast and Islands of Bass Strait" Sea Fisheries Division Technical Report No. 48 (ISSN 1034-3288) Original Owners of Database: Marine Resources DivisionMarine Research Laboratories - TaroonaDepartment of Primary Industry and Fisheries TasmaniaGPO Box 619F Hobart Tasmania 7001 Australia(contact: Warwick Nash +61 02 277277 wnash '@' dpi.tas.gov.au) Donor of Database: Sam Waugh (Sam.Waugh '@' cs.utas.edu.au)Department of Computer Science University of TasmaniaGPO Box 252C Hobart Tasmania 7001 Australia,Predicting the age of abalone from physical measurements.  The age of abalone is determined by cutting the shell through the cone staining it and counting the number of rings through a microscope -- a boring and time-consuming task.  Other measurements which are easier to obtain are used to predict the age.  Further information such as weather patterns and location (hence food availability) may be required to solve the problem. From the original data examples with missing values were removed (the majority having the predicted value missing) and the ranges of the continuous values have been scaled for use with an ANN (by dividing by 200).
seismic-bumps,https://archive.ics.uci.edu/ml/datasets/seismic-bumps,2013-04-03,N/A,32040,Provide the names email addresses institutions and other contact information of the donors and creators of the data set. Marek Sikora^{12} (marek.sikora '@' polsl.pl) Lukasz Wrobel^{1} (lukasz.wrobel '@' polsl.pl)(1) Institute of Computer Science Silesian University of Technology 44-100 Gliwice Poland(2) Institute of Innovative Technologies EMAG 40-189 Katowice Poland,Mining activity was and is always connected with the occurrence of dangers which are commonly called mining hazards. A special case of such threat is a seismic hazard which frequently occurs in many underground mines. Seismic hazard is the hardest detectable and predictable of natural hazards and in this respect it is comparable to an earthquake. More and more advanced seismic and seismoacoustic monitoring systems allow a better understanding rock mass processes and definition of seismic hazard prediction methods. Accuracy of so far created methods is however far from perfect. Complexity of seismic processes and big disproportion between the number of low-energy seismic events and the number of high-energy phenomena (e.g. > 10^4J) causes the statistical techniques to be insufficient to predict seismic hazard. Therefore it is essential to search for new opportunities of better hazard prediction also using machine learning methods. In seismic hazard assessment data clustering techniques can be applied (Lesniak A. Isakow Z.: Space-time clustering of seismic events and hazard assessment in the Zabrze-Bielszowice coal mine Poland. Int. Journal of Rock Mechanics and Mining Sciences 46(5) 2009 918-928) and for prediction of seismic tremors artificial neural networks are used (Kabiesz J.: Effect of the form of data on the quality of mine tremors hazard forecasting using neural networks. Geotechnical and Geological Engineering 24(5) 2005 1131-1147). In the majority of applications the results obtained by mentioned methods are reported in the form of two states which are interpreted as 'hazardous' and 'non-hazardous'. Unbalanced distribution of positive ('hazardous state') and negative ('non-hazardous state') examples is a serious problem in seismic hazard prediction. Currently used methods are still insufficient to achieve good sensitivity and specificity of predictions. In the paper (Bukowska M.: The probability of rockburst occurrence in the Upper Silesian Coal Basin area dependent on natural mining conditions. Journal of Mining Sciences 42(6) 2006 570-577) a number of factors having an effect on seismic hazard occurrence was proposed among other factors the occurrence of tremors with energy > 10^4J was listed. The task of seismic prediction can be defined in different ways but the main aim of all seismic hazard assessment methods is to predict (with given precision relating to time and date) of increased seismic activity which can cause a rockburst. In the data set each row contains a summary statement about seismic activity in the rock mass within one shift (8 hours). If decision attribute has the value 1 then in the next shift any seismic bump with an energy higher than 10^4 J was registered. That task of hazards prediction bases on the relationship between the energy of recorded tremors and seismoacoustic activity with the possibility of rockburst occurrence. Hence such hazard prognosis is not connected with accurate rockburst prediction. Moreover with the information about the possibility of hazardous situation occurrence an appropriate supervision service can reduce a risk of rockburst (e.g. by distressing shooting) or withdraw workers from the threatened area. Good prediction of increased seismic activity is therefore a matter of great practical importance.   The presented data set is characterized by unbalanced distribution of positive and negative examples. In the data set there are only 170 positive examples representing class 1.
Audiology (Standardized),https://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29,1992-08-18,Life,70169,Original Version:     (a) Original Owner: Professor Jergen at Baylor College of Medicine    (b) Donor: Bruce Porter (porter '@' fall.cs.utexas.EDU) Standardized Version:     (a) Donor: Ross Quinlan,This database is a standardized version of the original audiology database (see audiology.* in this directory).  The non-standard set of attributes have been converted to a standard set of attributes according to the rules that follow. * Each property that appears anywhere in the original .data or .test file has been represented as a separate attribute in this file. * A property such as age_gt_60 is represented as a boolean attribute with values f and t. * In most cases a property of the form x(y) is represented as a discrete attribute x() whose possible values are the various y's; air() is an example.  There are two exceptions:** when only one value of y appears anywhere e.g. static(normal). In this case x_y appears as a boolean attribute.** when one case can have two or more values of x e.g. history(..). All possible values of history are treated as separate boolean attributes. * Since boolean attributes only appear as positive conditions each boolean attribute is assumed to be false unless noted as true.  The value of multi-value discrete attributes taken as unknown ("?") unless a value is specified. * The original case identifications p1 to p200 in the .data file and t1 to t26 in the .test file have been added as a unique identifier attribute.  [Note: in the original .data file p165 has a repeated specification of o_ar_c(normal); p166 has repeated specification of speech(normal) and conflicting values air(moderate) and air(mild).  No other problems with the original data were noted.]
SECOM,https://archive.ics.uci.edu/ml/datasets/SECOM,2008-11-19,Computer,53418,Authors: Michael McCann Adrian Johnston ,A complex modern semi-conductor manufacturing process is normally under consistent surveillance via the monitoring of signals/variables collected from sensors and or process measurement points. However not all of these signals are equally valuable in a specific monitoring system. The measured signals contain a combination of useful information irrelevant information as well as noise. It is often the case that useful information is buried in the latter two. Engineers typically have a much larger number of signals than are actually required. If we consider each type of signal as a feature then feature selection may be applied to identify the most relevant signals. The Process Engineers may then use these signals to determine key factors contributing to yield excursions downstream in the process. This will enable an increase in process throughput decreased time to learning and reduce the per unit production costs. To enhance current business improvement techniques the application of feature selection as an intelligent systems technique is being investigated. The dataset presented in this case represents a selection of such features where each example represents a single production entity with associated measured features and the labels represent a simple pass/fail yield for in house line testing figure 2 and associated date time stamp. Where â€“1 corresponds to a pass and 1 corresponds to a fail and the data time stamp is for that specific test point.  Using feature selection techniques it is desired to rank features according to their impact on the overall yield for the product causal relationships may also be considered with a view to identifying the key features. Results may be submitted in terms of feature relevance for predictability using error rates as our evaluation metrics. It is suggested that cross validation be applied to generate these results. Some baseline results are shown below for basic feature selection techniques using a simple kernel ridge classifier and 10 fold cross validation. Baseline Results: Pre-processing objects were applied to the dataset simply to standardize the data and remove the constant features and then a number of different feature selection objects selecting 40 highest ranked features were applied with a simple classifier to achieve some initial results. 10 fold cross validation was used and the balanced error rate (*BER) generated as our initial performance metric to help investigate this dataset.  SECOM Dataset: 1567 examples 591 features 104 fails FSmethod (40 features) BER % True + % True - %S2N (signal to noise) 34.5 +-2.6 57.8 +-5.3 73.1 +2.1Ttest 33.7 +-2.1 59.6 +-4.7 73.0 +-1.8Relief 40.1 +-2.8 48.3 +-5.9 71.6 +-3.2Pearson 34.1 +-2.0 57.4 +-4.3 74.4 +-4.9Ftest 33.5 +-2.2 59.1 +-4.8 73.8 +-1.8Gram Schmidt 35.6 +-2.4 51.2 +-11.8 77.5 +-2.3
Bach Chorales,https://archive.ics.uci.edu/ml/datasets/Bach+Chorales,N/A,N/A,83732,Chorales: Mainous and Ottman edition.Mainous Frank D. and Robert W. Ottman eds. 1966.The 371 Bach Chorales.  Holt Rinehart and Winston New York. Original Owners of Database: Darrell ConklinZymoGenetics Inc.1201 Eastlake Avenue EastSeattle WA 98102conklin '@' zgi.com  Donor of database: Same as owner.  Ann Blombach of Ohio State University originally supplied me with 4-voice encodings of 100 chorales.  The present database is the soprano line converted into Lisp-readable form and extensively corrected.,Sequential (time-series) domain.  Single-line melodies of 100 Bach chorales (originally 4 voices).  The melody line can be studied independently of other voices.  The grand challenge is to learn a generative grammar for stylistically valid chorales (see references and discussion in "Multiple Viewpoint Systems for Music Prediction").
Dota2 Games Results,https://archive.ics.uci.edu/ml/datasets/Dota2+Games+Results,2016-08-14,Game,34570,stephen.tridgell '@' sydney.edu.au,Dota 2 is a popular computer game with two teams of 5 players. At the start of the game each player chooses a unique hero with different strengths and weaknesses. The dataset is reasonably sparse as only 10 of 113 possible heroes are chosen in a given game. All games were played in a space of 2 hours on the 13th of August 2016The data was collected using: [Web Link]
HEPMASS,https://archive.ics.uci.edu/ml/datasets/HEPMASS,2016-01-28,Physical,27303,Daniel Whiteson daniel '@' uci.edu Assistant Professor Physics & Astronomy Univ. of California Irvine,Machine learning is used in high-energy physics experiments to search for the signatures of exotic particles. These signatures are learned from Monte Carlo simulations of the collisions that produce these particles and the resulting decay products. In each of the three data sets here the goal is to separate particle-producing collisions from a background source.  The mass of the new particle is unknown so three separate data sets are provided. In each data set 50% of the data is from a signal process while 50% is from the background process. The data is separated into a training set of 7 million examples and a test set of 3.5 million for each. 1) In the '1000' dataset the signal particle has mass=1000. (Note: this dataset does not include a mass feature since all signal examples have the same mass.) 2) In the 'not1000' dataset the signal particle's mass is drawn uniformly from the set {500 750 1250 1500}. The mass is included as an input feature; for the background examples the mass is selected randomly from this same set. 3) In the 'all' dataset the signal particle's mass is drawn uniformly from the set {500 750 1000 1250 1500}. The mass is included as an input feature; for the background examples the mass is selected randomly from this same set.
AAAI 2013 Accepted Papers,https://archive.ics.uci.edu/ml/datasets/AAAI+2013+Accepted+Papers,2014-07-30,Computer,30494,Carla Brodleyc.brodley '@' neu.edu Dean of the College of Computer and Information ScienceNortheastern University,CSV format where each row is a paper and each column is an attribute.
Restaurant & consumer data,https://archive.ics.uci.edu/ml/datasets/Restaurant+%26+consumer+data,2012-08-04,Computer,80786,Creators: Rafael Ponce MedellÃ­n and Juan Gabriel GonzÃ¡lez Sernarafaponce '@' cenidet.edu.mx gabriel '@' cenidet.edu.mx Department of Computer Science.National Center for Research and Technological Development CENIDET MÃ©xicoDonors of database:Blanca Vargas-Govea and Juan Gabriel GonzÃ¡lez Sernablanca.vargas '@' cenidet.edu.mx/blanca.vg@gmail.com gabriel '@' cenidet.edu.mx Department of Computer Science.National Center for Research and Technological Development CENIDET MÃ©xico,Two approaches were tested: a collaborative filter technique and a contextual approach.   (i) The collaborative filter technique used only one file i.e. rating_final.csv that comprises the user item and rating attributes.     (ii) The contextual approach generated the recommendations using the remaining eight data files.
Farm Ads,https://archive.ics.uci.edu/ml/datasets/Farm+Ads,2011-10-18,Business,43099,Chris Mesterharm and Michael J. PazzaniRutgers The State University of New Jerseymesterha '@' cs.rutgers.edu ,This data was collected from text ads found on twelve websites that deal with various farm animal related topics.  Information from the ad creative and the ad landing page is included.  The binary labels are based on whether or not the content owner approves of the ad. For each ad we include the words on the ad creative and the words from the landing page.  Each word from the creative is given a prefixof 'ad-'.  Title and header HTML markups are noted in a similar way in the text of the landing page.  We have already performed stemming andstop word removal.  Each ad is on a single line.  The first word in the line is the label of the instance.  It is 1 for accepted ads and -1 for rejected ads. We have also included a straightforward bag-of-words representation of our data.  We use the SVMlight sparse vector format.  The first valueis the label followed by every nonzero attribute.  Each of these attributes is encoded as index:value.  This is the representation used for the relevant paper cited below.
Reuter_50_50,https://archive.ics.uci.edu/ml/datasets/Reuter_50_50,2011-09-08,Computer,38212,Dataset creator and donator: ZhiLiu e-mail: liuzhi8673 '@' gmail.com institution: National Engineering Research Center for E-Learning Hubei Wuhan China  ,The dataset is the subset of RCV1. These corpus has already been used in author identification experiments. In the top 50 authors (with respect to total size of articles) were selected. 50 authors of texts labeled with at least one subtopic of the class CCAT(corporate/industrial) were selected.That way it is attempted to minimize the topic factor in distinguishing among the texts. The training corpus consists of 2500 texts (50 per author) and the test corpus includes other 2500 texts (50 per author) non-overlapping with the training texts.
Covertype,https://archive.ics.uci.edu/ml/datasets/Covertype,1998-08-01,Life,156963,Original Owners of Database: Remote Sensing and GIS ProgramDepartment of Forest SciencesCollege of Natural ResourcesColorado State UniversityFort Collins CO  80523(contact Jock A. Blackard jblackard '@' fs.fed.us or Dr. Denis J. Dean denis.dean '@' utdallas.edu) Donors of database: 1. Jock A. Blackard (jblackard '@' fs.fed.us)GIS CoordinatorUSFS - Forest Inventory & AnalysisRocky Mountain Research Station507 25th StreetOgden UT 84401  2. Dr. Denis J. Dean (denis.dean '@' utdallas.edu)ProfessorProgram in Geography and Geospatial SciencesSchool of Economic Political and Policy Sciences800 West Campbell RdRichardson TX  75080-3021  3. Dr. Charles W. Anderson (anderson '@' cs.colostate.edu)Associate ProfessorDepartment of Computer ScienceColorado State UniversityFort Collins CO  80523  USA,Predicting forest cover type from cartographic variables only (no remotely sensed data).  The actual forest cover type for a given observation (30 x 30 meter cell) was determined from US Forest Service (USFS) Region 2 Resource Information System (RIS) data.  Independent variables were derived from data originally obtained from US Geological Survey (USGS) and USFS data.  Data is in raw form (not scaled) and contains binary (0 or 1) columns of data for qualitative independent variables (wilderness areas and soil types). This study area includes four wilderness areas located in the Roosevelt National Forest of northern Colorado.  These areas represent forests with minimal human-caused disturbances so that existing forest cover types are more a result of ecological processes rather than forest management practices. Some background information for these four wilderness areas: Neota (area 2) probably has the highest mean elevational value of the 4 wilderness areas. Rawah (area 1) and Comanche Peak (area 3) would have a lower mean elevational value while Cache la Poudre (area 4) would have the lowest mean elevational value.  As for primary major tree species in these areas Neota would have spruce/fir (type 1) while Rawah and Comanche Peak would probably have lodgepole pine (type 2) as their primary species followed by spruce/fir and aspen (type 5). Cache la Poudre would tend to have Ponderosa pine (type 3) Douglas-fir (type 6) and cottonwood/willow (type 4).   The Rawah and Comanche Peak areas would tend to be more typical of the overall dataset than either the Neota or Cache la Poudre due to their assortment of tree species and range of predictive variable values (elevation etc.)  Cache la Poudre would probably  be more unique than the others due to its relatively low  elevation range and species composition. 
PM2.5 Data of Five Chinese Cities,https://archive.ics.uci.edu/ml/datasets/PM2.5+Data+of+Five+Chinese+Cities,2017-07-18,Physical,11254,Song Xi Chen csx '@' gsm.pku.edu.cn Guanghua School of Management Center for Statistical Science Peking University.,The time period is between Jan 1st 2010 to Dec 31st 2015. Missing data are denoted as NA. 
Early biomarkers of Parkinson’s disease based on natural connected speech,https://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%E2%80%99s+disease+based+on+natural+connected+speech,N/A,N/A,N/A,N/A,N/A
Census-Income (KDD),https://archive.ics.uci.edu/ml/datasets/Census-Income+%28KDD%29,2000-03-07,Social,105753,Original Owner: U.S. Census Bureauhttp://www.census.gov/ United States Department of Commerce Donor: Terran Lane and Ronny KohaviData Mining and VisualizationSilicon Graphics.terran '@' ecn.purdue.edu ronnyk '@' sgi.com  ,This data set contains weighted census data extracted from the 1994 and 1995 Current Population Surveys conducted by the U.S. Census Bureau. The data contains 41 demographic and employment related variables.  The instance weight indicates the number of people in the population that each record represents due to stratified sampling. To do real analysis and derive conclusions this field must be used. This attribute should *not* be used in the classifiers.  One instance per line with comma delimited fields. There are 199523 instances in the data file and 99762 in the test file.  The data was split into train/test in approximately 2/3 1/3 proportions using MineSet's MIndUtil mineset-to-mlc. 
Perfume Data,https://archive.ics.uci.edu/ml/datasets/Perfume+Data,2014-07-22,Computer,74494,Prof. Dr. Bekir KARLIK bkarlik '@' selcuk.edu.tr Department of Computer Engineering Selcuk University Konya-Turkey Assoc. Prof. Dr. Yousif Al-Bastaki Department of Computer Science Bahrain University Kingdom of Bahrain,The data set gathered when we were working at project for Bahrain university between 2002 and 2003.
NIPS Conference Papers 1987-2015,https://archive.ics.uci.edu/ml/datasets/NIPS+Conference+Papers+1987-2015,2016-11-23,Computer,21055,Valerio Perronev.perrone '@' warwick.ac.uk Department of StatisticsUniversity of WarwickCoventry (UK),The dataset is in the form of a 11463 x 5812 matrix of word counts containing 11463 words and 5811 NIPS conference papers (the first column contains the list of words). Each column contains the number of times each word appears in the corresponding document. The names of the columns give information about each document and its timestamp in the following format: Xyear_paperID.  The matrix of word counts was obtained using the R package 'tmâ€ to process the raw .txt files of the full text of the NIPS conference papers published between 1987 and 2015. The document-term matrix was constructed after tokenization removal of stopwords and truncation of the vocabulary by only keeping words occurring more than 50 times.
ElectricityLoadDiagrams20112014,https://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014,2015-03-13,Computer,27846,Artur Trindade artur.trindade '@' elergone.pt Elergone NORTE-07-0202-FEDER-038564Data type: TSTask: regression clusteringNumber of Instances (records in your data set):370Number of Attributes (fields within each record):140256,Data set has no missing values.Values are in kW of each 15 min. To convert values in kWh values must be divided by 4.Each column represent one client. Some clients were created after 2011. In these cases consumption were considered zero.All time labels report to Portuguese hour. However all days present 96 measures (24*15). Every year in March time change day (which has only 23 hours) the values between 1:00 am and 2:00 am are zero for all points. Every year in October time change day (which has 25 hours) the values between 1:00 am and 2:00 am aggregate the consumption of two hours.
Credit Approval,https://archive.ics.uci.edu/ml/datasets/Credit+Approval,N/A,Financial,228286,(confidential source)  Submitted by quinlan '@' cs.su.oz.au,This file concerns credit card applications.  All attribute names and values have been changed to meaningless symbols to protect confidentiality of the data. This dataset is interesting because there is a good mix of attributes -- continuous nominal with small numbers of values and nominal with larger numbers of values.  There are also a few missing values.
Hepatitis,https://archive.ics.uci.edu/ml/datasets/Hepatitis,1988-11-01,Life,150140,Creator: unknown Donor:  G.Gong  (Carnegie-Mellon University) via Bojan CestnikJozef Stefan InstituteJamova 3961000 LjubljanaYugoslavia (tel.: (38)(+61) 214-399 ext.287) },Please ask Gail Gong for further information on this database.
Gas Sensor Array Drift Dataset at Different Concentrations,https://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations,2013-10-23,Computer,37913,Creators: Alexander Vergara (vergara '@' ucsd.edu) BioCircutis Institute University of California San Diego San Diego California USA Donors of the Dataset:Alexander Vergara (vergara '@' ucsd.edu) Jordi Fonollosa (fonollosa '@'ucsd.edu)Irene Rodriguez-Lujan (irrodriguezlujan '@' ucsd.edu)Ramon Huerta (rhuerta '@' ucsd.edu) ,This data set contains 13910 measurements from 16 chemical sensors exposed to 6 gases at different concentration levels. This dataset is an extension of the Gas Sensor Array Drift Dataset ([Web Link]) providing now the information about the concentration level at which the sensors were exposed for each measurement. The primary purpose of making this dataset freely accessible on-line is to provide an extensive dataset to the sensor and artificial intelligence research communities to develop and test strategies to solve a wide variety of tasks including sensor drift classification regression among others.  The dataset can be used exclusively for research purposes. Commercial purposes are fully excluded. Citation of both Vergara et al. 'Chemical gas sensor drift compensation using classifier ensembles' and Rodriguez-Lujan et al. â€œOn the calibration of sensor arrays for pattern recognition using the minimal number of experimentsâ€ is required (see below). The dataset was gathered during the period of January 2008 to February 2011 (36 months) in a gas delivery platform facility situated at the ChemoSignals Laboratory in the BioCircuits Institute University of California San Diego. The measurement system platform provides versatility for obtaining the desired concentrations of the chemical substances of interest with high accuracy and in a highly reproducible manner minimizing thereby the common mistakes caused by human intervention and making it possible to exclusively concentrate on the chemical sensors. See reference 1 for more details on the experimental setup.  The resulting dataset comprises recordings from six distinct pure gaseous substances namely Ammonia Acetaldehyde Acetone Ethylene Ethanol and Toluene dosed at a wide variety of concentration levels in the intervals (501000) (5500) (121000) (10300) (10600) and (10100) ppmv respectively.
