,Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Updated
156,[Classification ],,"Original Owner: R. K. BockMajor Atmospheric Gamma Imaging Cherenkov Telescope project (MAGIC)http://wwwmagic.mppmu.mpg.de rkb '@' mail.cern.ch  Donor: P. SavickyInstitute of Computer Science, AS of CRCzech Republicsavicky '@' cs.cas.cz ",,Multivariate ,"The data are MC generated (see below) to simulate registration of high energy gamma particles in a ground-based atmospheric Cherenkov gamma telescope using the imaging technique. Cherenkov gamma telescope observes high energy gamma rays, taking advantage of the radiation emitted by charged particles produced inside the electromagnetic showers initiated by the gammas, and developing in the atmosphere. This Cherenkov radiation (of visible to UV wavelengths) leaks through the atmosphere and gets recorded in the detector, allowing reconstruction of the shower parameters. The available information consists of pulses left by the incoming Cherenkov photons on the photomultiplier tubes, arranged in a plane, the camera. Depending on the energy of the primary gamma, a total of few hundreds to some 10000 Cherenkov photons get collected, in patterns (called the shower image), allowing to discriminate statistically those caused by primary gammas (signal) from the images of hadronic showers initiated by cosmic rays in the upper atmosphere (background). Typically, the image of a shower after some pre-processing is an elongated cluster. Its long axis is oriented towards the camera center if the shower axis is parallel to the telescope's optical axis, i.e. if the telescope axis is directed towards a point source. A principal component analysis is performed in the camera plane, which results in a correlation axis and defines an ellipse. If the depositions were distributed as a bivariate Gaussian, this would be an equidensity ellipse. The characteristic parameters of this ellipse (often called Hillas parameters) are among the image parameters that can be used for discrimination. The energy depositions are typically asymmetric along the major axis, and this asymmetry can also be used in discrimination. There are, in addition, further discriminating characteristics, like the extent of the cluster in the image plane, or the total sum of depositions. The data set was generated by a Monte Carlo program, Corsika, described in:    D. Heck et al., CORSIKA, A Monte Carlo code to simulate extensive air showers,    Forschungszentrum Karlsruhe FZKA 6019 (1998).[Web Link]  The program was run with parameters allowing to observe events with energies down to below 50 GeV.",,,Physical,,11,19020,,80265,,Data are MC generated to simulate registration of high energy gamma particles in an atmospheric Cherenkov telescope,MAGIC Gamma Telescope,https://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope,2007
157,[Classification ],,"D. Llorens, F. Prat, A. Marzal, J. M. VilarDepartamento de Lenguajes y Sistemas InformáticosUniversitat Jaume I, 12071 Castellón (SPAIN)fprat '@' lsi.uji.es",,"Multivariate, Sequential ","We create a character database by collecting samples from 11 writers.  Each writer contributed with letters (lower and uppercase), digits, and other characters (Spanish diacritics and punctuation marks) that we have not employed in our experiments and are not included in this database version. Two samples have been collected for each pair writer/character, so the total number of samples in this database version is 1364:           11 writers x 2 repetitions x (2x26 letters + 10 digits) The proposed task is a writer-independent one consisting of 11 leaving-one-writer-out tests, so the effective training set size (for each one of the 1364 test samples) is 1240:           10 writers x 2 repetitions x (2x26 letters + 10 digits) Moreover, this classification task is a 35-class one because we have not considered a different class for each different character: each one of the 26 letters is considered as a case-independent class, there are 9 additional clases for non-zero digits, and the zero is included in the same class as o's. This database is available in a UNIPEN-like format, trying to mimic the original Pendigits database. Two versions of that database are available; see folder: [Web Link]  The distribution of our database consists of 12 files:           uji.names          One file ""UJIpenchars-wNN"" per writer, where NN = ""01"", ""02""... ""11"" The handwriting samples were collected on a Toshiba Portégé M400 Tablet PC using its cordless stylus. Each one of the 11 writers completed 2 non-consecutive sessions. In each session, the corresponding writer was asked to write one exemplar for each character in a fixed set including lowercase letters, uppercase ones, and digits, along with other characters omitted from this database version. The acquisition program shows a set of boxes on the screen, a different one for each required character, and writers are told to write only inside those boxes. If they make a mistake or are unhappy with a character writing, they are instructed to clear the content of the corresponding box by using an on-screen button and try again. Subjects are monitored only when writing their first exemplars and every sample considered OK by its writer was accepted as such. Only X and Y coordinate information was recorded along the strokes by the acquisition program, without, for instance, pressure level values or timing information. Thus, in multi-stroke samples, no information at all was recorded between strokes; however, in this database version we have included a "".DT 100"" line in sample files after each stroke, following the Pendigits database criterion. We have observed that runs of consecutive points with identical coordinates were frequently acquired inside strokes; such runs were preserved in this database version, so each database user must decide whether to avoid them by an appropriate preprocessing step or not.",,,Computer,, ,1364,,70622,,Data consists of written characters in a UNIPEN-like format,UJI Pen Characters,https://archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters,2007
158,[Classification ],,"Matthias ElterFraunhofer Institute for Integrated Circuits (IIS)Image Processing and Medical Engineering Department (BMT) Am Wolfsmantel 3391058 Erlangen, Germanymatthias.elter '@' iis.fraunhofer.de (49) 9131-7767327  Prof. Dr. Rüdiger Schulz-WendtlandInstitute of Radiology, Gynaecological Radiology, University Erlangen-NurembergUniversitätsstraße 21-2391054 Erlangen, Germany",,Multivariate ,"Mammography is the most effective method for breast cancer screeningavailable today. However, the low positive predictive value of breastbiopsy resulting from mammogram interpretation leads to approximately70% unnecessary biopsies with benign outcomes. To reduce the highnumber of unnecessary breast biopsies, several computer-aided diagnosis(CAD) systems have been proposed in the last years.These systemshelp physicians in their decision to perform a breast biopsy on a suspiciouslesion seen in a mammogram or to perform a short term follow-upexamination instead.This data set can be used to predict the severity (benign or malignant)of a mammographic mass lesion from BI-RADS attributes and the patient's age.It contains a BI-RADS assessment, the patient's age and three BI-RADS attributestogether with the ground truth (the severity field) for 516 benign and445 malignant masses that have been identified on full field digital mammogramscollected at the Institute of Radiology of theUniversity Erlangen-Nuremberg between 2003 and 2006.Each instance has an associated BI-RADS assessment ranging from 1 (definitely benign)to 5 (highly suggestive of malignancy) assigned in a double-review process byphysicians. Assuming that all cases with BI-RADS assessments greater or equala given value (varying from 1 to 5), are malignant and the other cases benign,sensitivities and associated specificities can be calculated. These can be anindication of how well a CAD system performs compared to the radiologists. Class Distribution: benign: 516; malignant: 445",,,Life,,6,961,,104103,,Discrimination of benign and malignant mammographic masses based on BI-RADS attributes and the patient's age.,Mammographic Mass,https://archive.ics.uci.edu/ml/datasets/Mammographic+Mass,2007
159,[Regression ],,"Paulo Cortez, pcortez '@' dsi.uminho.pt, Department of Information Systems, University of Minho, Portugal.Aníbal Morais, araimorais '@' gmail.com, Department of Information Systems, University of Minho, Portugal.  ",,Multivariate ,"In [Cortez and Morais, 2007], the output 'area' was first transformed with a ln(x+1) function.   Then, several Data Mining methods were applied. After fitting the models, the outputs were   post-processed with the inverse of the ln(x+1) transform. Four different input setups were   used. The experiments were conducted using a 10-fold (cross-validation) x 30 runs. Two   regression metrics were measured: MAD and RMSE. A Gaussian support vector machine (SVM) fed   with only 4 direct weather conditions (temp, RH, wind and rain) obtained the best MAD value:   12.71 +- 0.01 (mean and confidence interval within 95% using a t-student distribution). The   best RMSE was attained by the naive mean predictor. An analysis to the regression error curve   (REC) shows that the SVM model predicts more examples within a lower admitted error. In effect,   the SVM model predicts better small fires, which are the majority. ",,,Physical,,13,517,,615574,,"This is a difficult regression task, where the aim is to predict the burned area of forest fires, in the northeast region of Portugal, by using meteorological and other data (see details at: http://www.dsi.uminho.pt/~pcortez/forestfires).",Forest Fires,https://archive.ics.uci.edu/ml/datasets/Forest+Fires,2008
160,[Classification ],,Shourya Royshourya.roy '@' gmail.com andShantanu Godboleshantanu '@' godbole.net ,,Text ,"Data Characteristics:--------------------This data was created by selecting 20 files each from the 10 largest classes in the Reuters-21578 collection ([Web Link]). The files were read out by 3 Indian speakers and an Automatic Speech Recognition (ASR) system was used to generate the transcripts. More about the ASR system can be found in [1]. Such a dataset will be really helpful to study the effect of speech recognition noise on text mining algorithms. The first work which refered to this dataset was on noisy text classification[2]. Data Format:----------There are 10 directories labeled by the topic name. Each contains 20 files of transcriptions. References:----------[1] L. R. Bahl, S. Balakrishnan-Aiyer, J. Bellegarda, M. Franz,P. Gopalakrishnan, D. Nahamoo, M. Novak, M. Padmanabhan,M. Picheny, and S. Roukos,Performance of the IBM large vocabulary continuous speech recognition system onthe ARPA wall street journal task. In Proc. of ICASSP ’95,pages 41–44, Detroit, MI, 1995.[2] S. Agarwal, S. Godbole, D. Punjani and S. Roy,How Much Noise is too Much: A Study in Automatic Text Classification',In Proc. of ICDM 2007",,,Business,, ,200,,44933,,"This dataset is created by reading out 200 files from the 10 largest Reuters 
classes and using an Automatic Speech Recognition system to create 
corresponding transcriptions.",Reuters Transcribed Subset,https://archive.ics.uci.edu/ml/datasets/Reuters+Transcribed+Subset,2008
161,[Clustering ],,"David Newmannewman '@' uci.edu University of California, Irvine ",,Text ,"For each text collection, D is the number of documents, W is thenumber of words in the vocabulary, and N is the total number of wordsin the collection (below, NNZ is the number of nonzero counts in thebag-of-words).  After tokenization and removal of stopwords, thevocabulary of unique words was truncated by only keeping words thatoccurred more than ten times.  Individual document names (i.e. aidentifier for each docID) are not provided for copyright reasons. These data sets have no class labels, and for copyright reasons nofilenames or other document-level metadata.  These data sets are idealfor clustering and topic modeling experiments. For each text collection we provide docword.*.txt (the bag of wordsfile in sparse format) and vocab.*.txt (the vocab file). Enron Emails:orig source: www.cs.cmu.edu/~enronD=39861W=28102N=6,400,000 (approx) NIPS full papers:orig source: books.nips.ccD=1500W=12419N=1,900,000 (approx) KOS blog entries:orig source: dailykos.comD=3430W=6906N=467714 NYTimes news articles:orig source: ldc.upenn.eduD=300000W=102660N=100,000,000 (approx) PubMed abstracts:orig source: www.pubmed.govD=8200000W=141043N=730,000,000 (approx)",,,Other,,100000,8000000,,240887,,This data set contains five text collections in the form of bags-of-words.,Bag of Words,https://archive.ics.uci.edu/ml/datasets/Bag+of+Words,2008
162,[Regression ],,"Original Owner and DonorProf. I-Cheng YehDepartment of Information Management Chung-Hua University, Hsin Chu, Taiwan 30067, R.O.C.e-mail:icyeh '@' chu.edu.tw TEL:886-3-5186511 Date Donated: August 3, 2007",,Multivariate ,"Number of instances 	1030Number of Attributes	9Attribute breakdown	8 quantitative input variables, and 1 quantitative output variableMissing Attribute Values	None ",,,Physical,,9,1030,,121118,,Concrete is the most important material in civil engineering. The concrete compressive strength is a highly nonlinear function of age and ingredients. ,Concrete Compressive Strength,https://archive.ics.uci.edu/ml/datasets/Concrete+Compressive+Strength,2007
163,[Classification ],,"Lee Graham (lee '@' stellaralchemy.com) Franz Oppacher (oppacher '@' scs.carleton.ca)Carleton University, Department of Computer ScienceIntelligent Systems Research Unit1125 Colonel By Drive, Ottawa, Ontario, Canada, K1S5B6",,Sequential ,"Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y co-ordinate, the points will create either a Hill (a “bump” in the terrain) or a Valley (a “dip” in the terrain). There are six files, as follows: (a) Hill_Valley_without_noise_Training.data(b) Hill_Valley_without_noise_Testing.data These first two datasets (without noise) are a training/testing set pair where the hills or valleys have a smooth transition. (c) Hill_Valley_with_noise_Training.data(d) Hill_Valley_with_noise_Testing.data These next two datasets (with noise) are a training/testing set pair where the terrain is uneven, and the hill or valley is not as obvious when viewed closely.  (e) Hill_Valley_sample_arff.text The sample ARFF file is useful for setting up experiments, but is not necessary. (f) Hill_Valley_visual_examples.jpg This graphic file shows two example instances from the data.",,,Other,,101,606,,55299,,"Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y co-ordinate, the points will create either a Hill (a �bump� in the terrain) or a Valley (a �dip� in the terrain).",Hill-Valley,https://archive.ics.uci.edu/ml/datasets/Hill-Valley,2008
164,[Classification ],,"a. Original ownersThe data were obtained from two sources: The National Cancer Institute (NCI) and the Eastern Virginia Medical School (EVMS). All the data consist of mass-spectra obtained with the SELDI technique. The samples include patients with cancer (ovarian or prostate cancer), and healthy or control patients. b. Donor of databaseThis version of the database was prepared for the NIPS 2003 variable and feature selection benchmark by Isabelle Guyon, 955 Creston Road, Berkeley, CA 94708, USA (isabelle '@' clopinet.com).",,Multivariate ,"ARCENE was obtained by merging three mass-spectrometry datasets to obtain enough training and test data for a benchmark. The original features indicate the abundance of proteins in human sera having a given mass value. Based on those features one must separate cancer patients from healthy patients. We added a number of distractor feature called 'probes' having no predictive power. The order of the features and patterns were randomized. ARCENE -- Positive ex. -- Negative ex. -- TotalTraining set -- 44 -- 56 -- 100Validation set -- 44 -- 56 -- 100Test set -- 310 -- 390 -- 700All -- 398 -- 502 -- 900 Number of variables/features/attributes:Real: 7000Probes: 3000Total: 10000 This dataset is one of five datasets used in the NIPS 2003 feature selection challenge. Our website [Web Link] is still open for post-challenge submissions. Information about other related challenges are found at: [Web Link]. The CLOP package includes sample code to process these data: [Web Link]. All details about the preparation of the data are found in our technical report: Design of experiments for the NIPS 2003 variable selection benchmark, Isabelle Guyon, July 2003, [Web Link] (also included in the dataset archive). Such information was made available only after the end of the challenge. The data are split into training, validation, and test set. Target values are provided only for the 2 first sets. Test set performance results are obtained by submitting prediction results to: [Web Link]. The data are in the following format:dataname.param: Parameters and statistics about the datadataname.feat: Identities of the features (withheld, to avoid biasing feature selection).dataname_train.data: Training set (a coma delimited regular matrix, patterns in lines, features in columns).dataname_valid.data: Validation set.dataname_test.data: Test set.dataname_train.labels: Labels (truth values of the classes) for training examples.dataname_valid.labels: Validation set labels (withheld during the benchmark, but provided now).dataname_test.labels: Test set labels (withheld, so the data can still be use as a benchmark). ",,,Life,,10000,900,,97706,,ARCENE's task is to distinguish cancer versus normal patterns from mass-spectrometric data. This is a two-class classification problem with continuous input variables. This dataset is one of 5 datasets of the NIPS 2003 feature selection challenge.,Arcene,https://archive.ics.uci.edu/ml/datasets/Arcene,2008
165,[Classification ],,"a.	Original ownersThe original data set we used is a subset of the well-known Reuters text categorization benchmark. The data was originally collected and labeled by Carnegie Group, Inc. and Reuters, Ltd. in the course of developing the CONSTRUE text categorization system.  It is hosted by the UCI KDD repository: http://kdd.ics.uci.edu/databases/reuters21578/reuters21578.html. David D. Lewis is hosting valuable resources about this data (see http://www.daviddlewis.com/resources/testcollections/reuters21578/). We used the “corporate acquisition” text classification class pre-processed by Thorsten Joachims <thorsten '@' joachims.org>. The data is one of the examples of the software package SVM-Light., see http://svmlight.joachims.org/. The example can be downloaded from ftp://ftp-ai.cs.uni-dortmund.de/pub/Users/thorsten/svm_light/examples/example1.tar.gz. b.	Donor of databaseThis version of the database was prepared for the NIPS 2003 variable and feature selection benchmark by Isabelle Guyon, 955 Creston Road, Berkeley, CA 94708, USA (isabelle '@' clopinet.com).",,Multivariate ,"The original data were formatted by Thorsten Joachims in the “bag-of-words” representation. There were 9947 features (of which 2562 are always zeros for all the examples) representing frequencies of occurrence of word stems in text. The task is to learn which Reuters articles are about 'corporate acquisitions'. We added a number of distractor feature called 'probes' having no predictive power. The order of the features and patterns were randomized. DEXTER -- Positive ex. -- Negative ex. -- Total		   Training set --150 -- 150 -- 300		   Validation set -- 150 -- 150 -- 300		   Test set -- 1000 -- 1000 -- 2000		   All -- 1300 -- 1300 -- 2600		  Number of variables/features/attributes:Real: 9947Probes: 10053Total: 20000 This dataset is one of five datasets used in the NIPS 2003 feature selection challenge. Our website [Web Link] is still open for post-challenge submissions. Information about other related challenges are found at: [Web Link]. The CLOP package includes sample code to process these data: [Web Link]. All details about the preparation of the data are found in our technical report: Design of experiments for the NIPS 2003 variable selection benchmark, Isabelle Guyon, July 2003, [Web Link] (also included in the dataset archive). Such information was made available only after the end of the challenge. The data are split into training, validation, and test set. Target values are provided only for the 2 first sets. Test set performance results are obtained by submitting prediction results to: [Web Link]. The data are in the following format:dataname.param: Parameters and statistics about the datadataname.feat: Identities of the features (withheld, to avoid biasing feature selection).dataname_train.data: Training set (a sparse matrix, patterns in lines, features in columns: feature number followed by value).  dataname_valid.data: Validation set.    dataname_test.data: Test set. dataname_train.labels: Labels (truth values of the classes) for training examples.   dataname_valid.labels: Validation set labels (withheld during the benchmark, but provided now).dataname_test.labels: Test set labels  (withheld, so the data can still be use as a benchmark).",,,Other,,20000,2600,,79031,,"DEXTER is a text classification problem in a bag-of-word representation. This is a two-class classification problem with sparse continuous input variables. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.
",Dexter,https://archive.ics.uci.edu/ml/datasets/Dexter,2008
166,[Classification ],,"a.	Original ownersThe dataset with which DOROTHEA was created is one of the KDD (Knowledge Discovery in Data Mining) Cup 2001. The original dataset and papers of the winners of the competition are available at: http://www.cs.wisc.edu/~dpage/kddcup2001/. DuPont Pharmaceuticals graciously provided this data set for the KDD Cup 2001 competition. All publications referring to analysis of this data set should acknowledge DuPont Pharmaceuticals Research Laboratories and KDD Cup 2001. b.	Donor of databaseThis version of the database was prepared for the NIPS 2003 variable and feature selection benchmark by Isabelle Guyon, 955 Creston Road, Berkeley, CA 94708, USA (isabelle '@' clopinet.com).",,Multivariate ,"Drugs are typically small organic molecules that achieve their desired activity by binding to a target site on a receptor. The first step in the discovery of a new drug is usually to identify and isolate the receptor to which it should bind, followed by testing many small molecules for their ability to bind to the target site. This leaves researchers with the task of determining what separates the active (binding) compounds from the inactive (non-binding) ones. Such a determination can then be used in the design of new compounds that not only bind, but also have all the other properties required for a drug (solubility, oral absorption, lack of side effects, appropriate duration of action, toxicity, etc.). The original data were modified for the purpose of the feature selection challenge. In particular, we added a number of distractor feature called 'probes' having no predictive power. The order of the features and patterns were randomized. DOROTHEA -- Positive ex. -- Negative ex. -- Total		   Training set -- 78 -- 722 -- 800		   Validation set -- 34 -- 316 -- 350		   Test set -- 78 -- 722 -- 800		   All -- 190 -- 1760 -- 1950		 We mapped Active compounds to the target value +1 (positive examples) and Inactive compounds to the target value –1 (negative examples). Number of variables/features/attributes:Real: 50000Probes: 50000Total: 100000	  This dataset is one of five datasets used in the NIPS 2003 feature selection challenge. Our website [Web Link] is still open for post-challenge submissions. Information about other related challenges are found at: [Web Link]. The CLOP package includes sample code to process these data: [Web Link]. All details about the preparation of the data are found in our technical report: Design of experiments for the NIPS 2003 variable selection benchmark, Isabelle Guyon, July 2003, [Web Link] (also included in the dataset archive). Such information was made available only after the end of the challenge. The data are split into training, validation, and test set. Target values are provided only for the 2 first sets. Test set performance results are obtained by submitting prediction results to: [Web Link]. The data are in the following format:dataname.param: Parameters and statistics about the datadataname.feat: Identities of the features (withheld, to avoid biasing feature selection).dataname_train.data: Training set (a sparse binary matrix, patterns in lines, features in columns: the number of the non-zero features are provided).  dataname_valid.data: Validation set.    dataname_test.data: Test set. dataname_train.labels: Labels (truth values of the classes) for training examples.   dataname_valid.labels: Validation set labels (withheld during the benchmark, but provided now).dataname_test.labels: Test set labels  (withheld, so the data can still be use as a benchmark).",,,Life,,100000,1950,,78834,,DOROTHEA is a drug discovery dataset. Chemical compounds represented by structural molecular features must be classified as active (binding to thrombin) or inactive. This is one of 5 datasets of the NIPS 2003 feature selection challenge.,Dorothea,https://archive.ics.uci.edu/ml/datasets/Dorothea,2008
167,[Classification ],,"a. Original ownersThe data set was constructed from the MNIST data that is made available by Yann LeCun and Corinna Cortes at http://yann.lecun.com/exdb/mnist/. b. Donor of databaseThis version of the database was prepared for the NIPS 2003 variable and feature selection benchmark by Isabelle Guyon, 955 Creston Road, Berkeley, CA 94708, USA (isabelle '@' clopinet.com).",,Multivariate ,"The digits have been size-normalized and centered in a fixed-size image of dimension 28x28. The original data were modified for the purpose of the feature selection challenge. In particular, pixels were samples at random in the middle top part of the feature containing the information necessary to disambiguate 4 from 9 and higher order features were created as products of these pixels to plunge the problem in a higher dimensional feature space. We also added a number of distractor features called 'probes' having no predictive power. The order of the features and patterns were randomized.  GISETTE -- Positive ex. -- Negative ex. -- TotalTraining set -- 3000 -- 3000 -- 6000Validation set -- 500 -- 500 -- 1000Test set -- 3250 -- 3250 -- 6500All -- 6750 -- 6750 -- 13500 Number of variables/features/attributes:Real: 2500Probes: 2500Total: 5000 This dataset is one of five datasets used in the NIPS 2003 feature selection challenge. Our website [Web Link] is still open for post-challenge submissions. Information about other related challenges are found at: [Web Link]. The CLOP package includes sample code to process these data: [Web Link]. All details about the preparation of the data are found in our technical report: Design of experiments for the NIPS 2003 variable selection benchmark, Isabelle Guyon, July 2003, [Web Link] (also included in the dataset archive). Such information was made available only after the end of the challenge. The data are split into training, validation, and test set. Target values are provided only for the 2 first sets. Test set performance results are obtained by submitting prediction results to: [Web Link]. The data are in the following format:dataname.param: Parameters and statistics about the datadataname.feat: Identities of the features (withheld, to avoid biasing feature selection).dataname_train.data: Training set (a coma delimited regular matrix, patterns in lines, features in columns).dataname_valid.data: Validation set.dataname_test.data: Test set.dataname_train.labels: Labels (truth values of the classes) for training examples.dataname_valid.labels: Validation set labels (withheld during the benchmark, but provided now).dataname_test.labels: Test set labels (withheld, so the data can still be use as a benchmark). ",,,Computer,,5000,13500,,87094,,"GISETTE is a handwritten digit recognition problem. The problem is to separate the highly confusible digits '4' and '9'. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.
",Gisette,https://archive.ics.uci.edu/ml/datasets/Gisette,2008
168,[Classification ],,"Isabelle GuyonClopinet955 Creston RoadBerkeley, CA 90708isabelle '@' clopinet.com ",,Multivariate ,"MADELON is an artificial dataset containing data points grouped in 32 clusters placed on the vertices of a five dimensional hypercube and randomly labeled +1 or -1. The five dimensions constitute 5 informative features. 15 linear combinations of those features were added to form a set of 20 (redundant) informative features. Based on those 20 features one must separate the examples into the 2 classes (corresponding to the +-1 labels). We added a number of distractor feature called 'probes' having no predictive power. The order of the features and patterns were randomized. MADELON -- Positive ex. -- Negative ex. -- Total		   Training set -- 1000 -- 1000 -- 2000		   Validation set -- 300 -- 300 -- 600		   Test set -- 900 -- 900 -- 1800		   All -- 2200 -- 2200 -- 4400		  Number of variables/features/attributes:Real: 20Probes: 480Total: 500 This dataset is one of five datasets used in the NIPS 2003 feature selection challenge. Our website [Web Link] is still open for post-challenge submissions. Information about other related challenges are found at: [Web Link]. The CLOP package includes sample code to process these data: [Web Link]. All details about the preparation of the data are found in our technical report: Design of experiments for the NIPS 2003 variable selection benchmark, Isabelle Guyon, July 2003, [Web Link] (also included in the dataset archive). Such information was made available only after the end of the challenge. The data are split into training, validation, and test set. Target values are provided only for the 2 first sets. Test set performance results are obtained by submitting prediction results to: [Web Link]. The data are in the following format:dataname.param: Parameters and statistics about the datadataname.feat: Identities of the features (in the order the features are found in the data).dataname_train.data: Training set (a space-delimited regular matrix, patterns in lines, features in columns).  dataname_valid.data: Validation set.    dataname_test.data: Test set. dataname_train.labels: Labels (truth values of the classes) for training examples.   dataname_valid.labels: Validation set labels (withheld during the benchmark, but provided now).dataname_test.labels: Test set labels  (withheld, so the data can still be use as a benchmark).",,,Other,,500,4400,,104986,,"MADELON is an artificial dataset, which was part of the NIPS 2003 feature selection challenge. This is a two-class classification problem with continuous input variables. The difficulty is that the problem is multivariate and highly non-linear. ",Madelon,https://archive.ics.uci.edu/ml/datasets/Madelon,2008
169,[Classification ],,"Kun Zhang, zhang.kun05 '@' gmail.com, Department of Computer Science, Xavier University of LousianaWei Fan, wei.fan '@' gmail.com,  IBM T.J.Watson ResearchXiaoJing Yuan, xyuan '@' uh.edu, Engineering Technology Department, College of Technology, University of Houston",,"Multivariate, Sequential, Time-Series ","For a list of attributes, please refer to those two .names files.  They use the following naming convention: All the attribute start with T means the temperature measured at different time throughout the day; and those starts with WS indicate the wind speed at various time. WSR_PK:     continuous. peek wind speed -- resultant (meaning average of wind vector) WSR_AV:     continuous. average wind speed T_PK:     continuous. Peak TT_AV:     continuous. Average TT85:     continuous. T at 850 hpa level (or about 1500 m height)RH85:     continuous. Relative Humidity at 850 hpaU85:     continuous. (U wind - east-west direction wind at 850 hpa)V85:     continuous. V wind - N-S direction wind at 850HT85:     continuous. Geopotential height at 850 hpa, it is about the same as height at low altitudeT70:     continuous. T at 700 hpa level (roughly 3100 m height) RH70:     continuous.U70:     continuous.V70:     continuous.HT70:     continuous. T50:     continuous. T at 500 hpa level (roughly at 5500 m height) RH50:     continuous.U50:     continuous.V50:     continuous.HT50:     continuous. KI:     continuous. K-Index [Web Link] TT:     continuous. T-Totals [Web Link] SLP:     continuous. Sea level pressureSLP_:     continuous. SLP change from previous day Precp:    continuous. -- precipitation",,,Physical,,73,2536,,95054,,"Two ground ozone level data sets are included in this collection. One is the eight hour peak set (eighthr.data), the other is the one hour peak set (onehr.data). Those data were collected from 1998 to 2004 at the Houston, Galveston and Brazoria area.",Ozone Level Detection,https://archive.ics.uci.edu/ml/datasets/Ozone+Level+Detection,2008
170,[Causal-Discovery ],,"Jerry W. Jenkins, Ph.D.Systems Biology and Bioinformations GroupCFD Research Corporation215 Wynn DriveHuntsville, AL 35805email: jwj '@' cfdrc.com  Abhishek Soni, Ph.D.Systems Biology and Bioinformations GroupCFD Research Corporation215 Wynn DriveHuntsville, AL 35805email: axs '@' cfdrc.com ",,Multivariate ,"The objective is to determine the set of boolean rules that describe the interactions of the nodes within this plant signaling network. The dataset includes 300 separate boolean pseudodynamic simulations of the true rules, using an asynchronous update scheme. Each of the 300 simulations begin with a randomly generated initial condition, in order to ensure sampling of all of the steady states of the system.  There are a total of 43 nodes in this dataset, with 5 ndoes being constants. The results for 300 separate simulations are included in the dataset.  Each simulation consists of a matrix of 0's and 1's, with 21 rows and 43 columns.  The first row is the randomly generated initial condition for the particular simulation, with the next 20 rows being the output from the boolean pseudodynamics simulation.  Each of the 43 columns represent the transient response of a particular node.  The nodal names are identified at the top of the data file.  A line of asterisks is used to separate the simulations from one another.  An example set of data is included below: ***************************101110111010110110110100101000101100001100111000011101111011011011111110110010111010111100011110111110101101100011010001110101010110000111011111010110110001100001111010101011000011101111101011011000110000111101010101100001110111110101101100011000011110101010110000111011111010110110001100001111010101011000011101111101011011000110000111101010101100001110111110101101100011000011110101010110000111011111010110110001100001111010101011000011101111101011011000110000111101010101100001110111110101101100011000011110101010110000111011111010110110001100001111010101011000011101111101011011000110000111101010101100001110111110101101100011000011110101010110000111011111010110110001100001111010101011000011101111101011011000110000111101010101100001110111110101101100011000011110101010110000111011111010110110001100001111010101011000011101111101011011000110000111101010101100001110111110101101100011000011110101010 ",,,Life,,43,300,,43040,,The objective is to determine the set of boolean rules that describe the interactions of the nodes within this plant signaling network.  The dataset includes 300 separate boolean pseudodynamic simulations using an asynchronous update scheme. ,Abscisic Acid Signaling Network,https://archive.ics.uci.edu/ml/datasets/Abscisic+Acid+Signaling+Network,2008
171,[Classification ],,"The dataset was created by Max Little of the University of Oxford, in collaboration with the National Centre for Voice and Speech, Denver, Colorado, who recorded the speech signals. The original study published the feature extraction methods for general voice disorders.",,Multivariate ,"This dataset is composed of a range of biomedical voice measurements from 31 people, 23 with Parkinson's disease (PD). Each column in the table is a particular voice measure, and each row corresponds one of 195 voice recording from these individuals (""name"" column). The main aim of the data is to discriminate healthy people from those with PD, according to ""status"" column which is set to 0 for healthy and 1 for PD.  The data is in ASCII CSV format. The rows of the CSV file contain an instance corresponding to one voice recording. There are around six recordings per patient, the name of the patient is identified in the first column.For further information or to pass on comments, please contact Max Little (littlem '@' robots.ox.ac.uk). Further details are contained in the following reference -- if you use this dataset, please cite:Max A. Little, Patrick E. McSharry, Eric J. Hunter, Lorraine O. Ramig (2008), 'Suitability of dysphonia measurements for telemonitoring of Parkinson's disease', IEEE Transactions on Biomedical Engineering (to appear).",,,Life,,23,197,,162467,,Oxford Parkinson's Disease Detection Dataset,Parkinsons,https://archive.ics.uci.edu/ml/datasets/Parkinsons,2008
