,Anonymised Labels ,Author,Column Name,Column Type,Description,File Type,Image Dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of views,Size,Summary,Title,Updated,Url
214,,"Fairfax County, Virginia",,,This data contains polygon features representing the results of the US President/Vice President race by precinct within Fairfax County for the November 2016 general election.,HTML,,"[2016-election-resul..., fairfax-county, ffxelection, va, virginia, voting]",See this page for license information.,,,76,76,,,2016 Election Results - USPresident/VicePresident,2017-01-13T16:01:32.234Z,https://catalog.data.gov/dataset/2016-election-results-uspresident-vicepresident-e3e48
215,,Department of Commerce,,,Quarterly retail e-commerce sales are estimated from the same sample used for the Monthly Retail Trade Survey (MRTS) to estimate preliminary and final U.S. retail sales. Coverage includes all retailers whether or not they are engaged in e-commerce. Online travel services financial brokers and dealers and ticket sales agencies are not classified as retail and are not included in either the total retail or retail e-commerce sales estimates.,HTML,,"[accessories, appliance, beverage, book, building, care, clothing, commerce, dealers, e-business, e-c, e-commerce, e-sales, ec, ecommerce, electronic, electronics, equipment, food, furnishings, furniture, garden, gasoline, general, goods, health, hobby, home, houses, internet, mail-order, material, merchandise, miscellaneous, motor, music, nation, nonstore, online, parts, personal, quarterly, retail, retailers, revenue, sales, services, shopping, sold, sporting, stations, statistics, store, stores, supplies, u-s, value, vehicle]",U.S. Government Work,,,76,76,,,Quarterly E-Commerce Report,2016-05-17,https://catalog.data.gov/dataset/quarterly-e-commerce-report
216,,Department of Commerce,,,The Small Area Income and Poverty Estimates (SAIPE) program produces single-year estimates of median household income and poverty for all counties and states and poverty and population for all Title I-eligible school districts.,HTML,,"[children, county, median-household-in..., model, no-child-left-behind, poverty, school-district, small-area, state, title-i]",U.S. Government Work,,,75,75,,,Small Area Income and Poverty Estimates (SAIPE),2013-12-11,https://catalog.data.gov/dataset/small-area-income-and-poverty-estimates-saipe
217,,Allegheny County / City of Pittsburgh / Western PA Regional Data Center,,,Pittsburgh FEMA Flood Zones 2014Metadata https//www.arcgis.com/sharing/rest/content/items/fb45ed8f9e0d463aadfab95620ffa303/info/metadata/metadata.xml?format=default[HTML_REMOVED]output=html,HTML,,"[environment, pittsburgh, pittsburgh-fema-2014]",No license information was provided.,,,75,75,,,Pittsburgh FEMA Flood Zones,2018-02-17T00:30:36.517121,https://catalog.data.gov/dataset/pittsburgh-fema-flood-zones-78814
218,,Department of Labor,,,The dataset contains unemployment rate data,API,,[unemployment-rate],Creative Commons CCZero,,,75,75,,,Unemployment Rate,2014,https://catalog.data.gov/dataset/unemployment-rate
219,,Department of Commerce,,,Provides national estimates of investment in new and used buildings and other structures machinery and equipment by U.S. nonfarm businesses with and without employees.  Data are published by industry for companies with employees for NAICS 3-digit and selected 4-digit industries.  Data on the amount of business expenditures for new plant and equipment and measures of the stock of existing facilities are critical to evaluate productivity growth the ability of U.S. business to compete with foreign business changes in industrial capacity and measures of overall economic performance. In addition ACES data provide industry analysts with capital expenditure data for market analysis economic forecasting identifying business opportunities and developing new and strategic plans. The ACES is an integral part of the Federal Government's effort to improve and supplement ongoing statistical programs. Private companies and organizations educators and students and economic researchers use the survey results for analyzing and conducting impact evaluations on past and current economic performance short-term economic forecasts productivity long-term economic growth tax policy capacity utilization business fixed capital stocks and capital formation domestic and international competitiveness trade policy market research and financial analysis.,HTML,,"[accommodation, aces, administrative, agricultural, annual, arts, assistance, business, capital, capital-leases, capitalized-compute..., care, companies, construction, educational, enterprises, entertainment, equipment, expenditures, expenses, finance, fishing, food, forestry, health, industry, information, insurance, investment, leasing, management, manufacturing, mining, naics, nation, new, professional, real-estate, recreation, rental, retail, scientific, sector, services, social, spending, statistics, structures, support, technical, transportation, u-s, used, utilities, warehousing, waste, wholesale]",U.S. Government Work,,,75,75,,,Annual Capital Expenditures Survey,2016-02-24,https://catalog.data.gov/dataset/annual-capital-expenditures-survey
220,,State of North Dakota,,,Please note that these are preliminary contour data downloaded from http//topotools.cr.usgs.gov/contour_data.php.    This contour dataset was generated from the National Elevation Dataset (NED) and the National Hydrography Dataset (NHD) in a fully automated process. The input raster data source was the 1/3 arc-second version of the NED. The NED data were modified by the NHD flow lines areas and water bodies to facilitate improved integration between the hypsography and hydrography. These contour datasets were generated from the National Elevation Dataset (NED) and the National Hydrography Dataset (NHD) in a fully automated process. The input raster data source was the 1/3 arc-second version of the NED. The NED data were modified by the NHD flow lines areas and water bodies to facilitate improved integration between the hypsography and hydrography. These datasets are not the ones that appear on the U.S. Geological Survey's USTopo GeoPDFs.    Constraints    There is no guarantee or warranty concerning the accuracy of the data. Users should be aware that temporal changes may have occurred since these data were collected generated and that some parts of these data may no longer represent actual surface conditions. Hydro-enforcement and generalization can also significantly alter the spatial characteristics of the contours. Users should not use these data for critical applications without a full awareness of its limitations. Acknowledgement of the originating agencies would be appreciated in products derived from these data. Any user who modifies the data is obligated to describe the types of modifications they perform. User specifically agrees not to misrepresent the data nor to imply that changes made were approved or endorsed by the USGS. Any use of trade firm or product names is for descriptive purposes only and does not imply endorsement by the U.S. Government. Please refer to http//www.usgs.gov/privacy.html for the USGS disclaimer. Not to be used for navigation for informational purposes only. See full disclaimer for more information.,data,,"[contours, elevation, topography]",See this page for license information.,,,75,75,,,"Statewide Topographic Contours - 1:24,000 Scale",2017-01-18,https://catalog.data.gov/dataset/statewide-topographic-contours-1-24000-scale
221,,U.S. Department of Health & Human Services,,,This dataset includes data on adult's diet physical activity and weight status from Behavioral Risk Factor Surveillance System. This data is used for DNPAO's Data Trends and Maps database which provides national and state specific data on obesity nutrition physical activity and breastfeeding.,CSV,,"[adults, brfss, dnpao, fruit, nutrition, obesity, overweight, physical-activity, vegetables, walking]",See this page for license information.,,,74,74,,,"Nutrition, Physical Activity, and Obesity - Behavioral Risk Factor Surveillance System",2018-02-24,https://catalog.data.gov/dataset/nutrition-physical-activity-and-obesity-behavioral-risk-factor-surveillance-system-f645f
222,,U.S. Department of Health & Human Services,,,This dataset describes drug poisoning deaths at the U.S. and state level by selected demographic characteristics and includes age-adjusted death rates for drug poisoning. Deaths are classified using the International Classification of Diseases Tenth Revision (ICDâ10). Drug-poisoning deaths are defined as having ICDâ10 underlying cause-of-death codes X40âX44 (unintentional) X60âX64 (suicide) X85 (homicide) or Y10âY14 (undetermined intent).    Estimates are based on the National Vital Statistics System multiple cause-of-death mortality files. Age-adjusted death rates (deaths per 100000 U.S. standard population for 2000) are calculated using the direct method. Populations used for computing death rates for 2011â2015 are postcensal estimates based on the 2010 U.S. census. Rates for census years are based on populations enumerated in the corresponding censuses. Rates for noncensus years before 2010 are revised using updated intercensal population estimates and may differ from rates previously published. Death rates for some states and years may be low due to a high number of unresolved pending cases or misclassification of ICDâ10 codes for unintentional poisoning as R99 âOther ill-defined and unspecified causes of mortality.â For example this issue is known to affect New Jersey in 2009 and West Virginia in 2005 and 2009 but also may affect other years and other states. Estimates should be interpreted with caution.,CSV,,"[deaths, drug-poisoning, mortality, national, nchs, state, united-states]",See this page for license information.,,,74,74,,,Drug Poisoning Mortality by State: United States,2018-02-05,https://catalog.data.gov/dataset/drug-poisoning-mortality-by-state-united-states
223,,Department of Education,,,College Affordability and Transparency List Explanation Form 2016–17 (CATEF 2016–17) is a cross-sectional data collection that collects information on the major areas of institutions’ budgets with the greatest cost increases the explanations for these increases and the steps institutions have been or will be taking towards reducing these costs. The data collection is conducted on the subset of institutions that appear on the tuition and fees and/or net price increase lists for being in the five percent of institutions in their institutional sector that have the highest increases expressed as a percentage change over the three-year time period. This data collection is mandatory and expects a 100 percent response rate. Key statistics produced from CATEF 2016–17 are a description of the major areas in the institution's budget with the greatest cost increases; an explanation of the cost increases; a description of the steps the institution will take toward the goal of reducing costs in the areas described; an explanation of the extent to which the institution participates in determining such cost increase; the identification of the agency or instrumentality of state government responsible for determining such cost increase; and any other information the institution considers relevant to the report.,Microsoft Excel Document,,"[college-affordability, cost-of-attendance, net-prices, postsecondary-insti..., transparency-of-inf..., tuition-and-fees]",Creative Commons CCZero,,,74,74,,,"College Affordability and Transparency List Explanation Form, 2016–17",2016-05-03,https://catalog.data.gov/dataset/college-affordability-and-transparency-list-explanation-form-201617
224,,"U.S. Geological Survey, Department of the Interior",,,The National Land Cover Database (NLCD) Percent Tree Canopy Collection is a product of the U.S. Forest Service (USFS) and is produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium (www.mrlc.gov). The MRLC Consortium is a partnership of Federal agencies consisting of the U.S. Geological Survey the National Oceanic and Atmospheric Administration the U.S. Environmental Protection Agency the U.S. Department of Agriculture (USDA) National Agricultural Statistics Service the U.S. Forest Service the National Park Service the U.S. Fish and Wildlife Service the Bureau of Land Management NASA and the U.S. Army Corps of Engineers. A primary goal of the MRLC Consortium is to generate current consistent and seamless national datasets of land cover percent developed imperviousness and percent tree canopy. NLCD 2001 Percent Tree Canopy was developed in three key steps 1. Reference data of tree canopy density was derived from the high spatial resolution images. 2. Density prediction models were calibrated using reference data and Landsat spectral bands. 3. The models developed in step 2 were extrapolated spatially to map per-pixel tree canopy density. This method is described in detail in Huang et al. (2001). NLCD 2011 Percent Tree Canopy â Cartographic is the cartographic version of the NLCD 2011 Percent Tree Canopy â Analytical dataset for the 48 conterminous states. It was produced by the USDA Forest Service Remote Sensing Applications Center (RSAC). Tree canopy values range from 0 to 100 percent. The analytic tree canopy layer was produced using a Random Forestsâ¢ regression algorithm. The cartographic product is a filtered version of the regression algorithm output. Questions about the NLCD Percent Tree Canopy Collection can be directed to the NLCD land cover mapping team at USGS EROS Sioux Falls SD (605) 594-6151 or mrlc@usgs.gov.,HTML,,"[gis, usa, remote sensing, percent tree canopy, ngda, u.s., continuous, digital spatial data, us, tree canopy, united states, usfs, land use land cover..., national geospatial..., u.s.a., tree canopy cover, united states of am..., u.s. forest service]",U.S. Government Work,,,74,74,,,National Land Cover Database (NLCD) Percent Tree Canopy Collection,,https://catalog.data.gov/dataset/national-land-cover-database-nlcd-percent-tree-canopy-collection
225,,Department of Commerce,,,A national survey conducted to produce a comprehensive set of statistics on voter and nonvoter characteristics as well as current voter trends distinct from independent surveys media polls or other outside agencies.  The universe for this survey is persons 18 years of age and older in each household that was eligible for the basic Current Population Survey (CPS).  This survey is a proxy response survey and is sponsored by the United States Census Bureau.,CSV,,"[elections, politics, voter-registration, voting]",U.S. Government Work,,,74,74,,,Current Population Survey Voting and Registration Supplement,2014-04-01,https://catalog.data.gov/dataset/current-population-survey-voting-and-registration-supplement
226,,Department of Defense,,,Total tonnage total foreign tonnage and total domestic tonnage (in short tons of 2000 pounds) of commodites carried on commercial waterways for forty years.,XLS,,"[commerce, commodities, marine-transportation, tonnage, tons, waterborne]",U.S. Government Work,,,74,74,,,Total tonnage (foreign and domestic) of commodites carried on commercial waterways,2013-11-21,https://catalog.data.gov/dataset/total-tonnage-foreign-and-domestic-of-commodites-carried-on-commercial-waterways
227,,U.S. Department of Health & Human Services,,,The Drug Listing Act of 1972 requires registered drug establishments to provide the Food and Drug Administration (FDA) with a current list of all drugs manufactured prepared propagated compounded or processed by it for commercial distribution. (See Section 510 of the Federal Food Drug and Cosmetic Act (Act) (21 U.S.C. § 360)). Drug products are identified and reported using a unique three-segment number called the National Drug Code (NDC) which serves as a universal product identifier for drugs. FDA publishes the listed NDC numbers and the information submitted as part of the listing information in the NDC Directory which is updated daily.,ZIP,,[cder],See this page for license information.,,,73,73,,,National Drug Code Directory,2016-04-05,https://catalog.data.gov/dataset/national-drug-code-directory
228,,U.S. Environmental Protection Agency,,,Each year EPA produces a report called Advancing Sustainable Materials Management Facts and Figures. It includes information on municipal solid waste (MSW) generation recycling composting combustion with energy recovery and landfilling. The 2014 report provides information on historical tipping fees for MSW and information on the construction and demolition debris generation which is outside of the scope of MSW. The Facts and Figures website includes recent reports (2012 to 2014 as well as historical information on materials in the U.S. Municipal Waste Stream 1960 to 2014 (in tons). The reports for both current and historical waste prevention can be accessed at EPA's SMM website. The recent Annual Facts and Figures reports are accessible at the following link https//www.epa.gov/smm/advancing-sustainable-materials-management-facts-and-figures-report.               Historical data as well as studies and summary tables related to the Advancing Sustainable Materials Management Report are accessible here https//www.epa.gov/smm/studies-summary-tables-and-data-related-advancing-sustainable-materials-management-report. An excel file containing the data from 1960 - 2014 is located here  https//edg.epa.gov/data/PUBLIC/OLEM/Materials_Municipal_Waste_Stream_1960_to_2014.xlsx.              EPA also maintains a list of state and local waste characterization studies (reports are not available for all states). You can search for your state at https//www.epa.gov/smm/advancing-sustainable-materials-management-facts-and-figures#USState. The Facts and Figures report is part of EPA's larger SMM program (https//www.epa.gov/smm). Sustainable Materials Management (SMM) is a systemic approach to using and reusing materials more productively over their entire lifecycles. It represents a change in how our society thinks about the use of natural resources and environmental protection. By looking at a product's entire lifecycle we can find new opportunities to reduce environmental impacts conserve resources and reduce costs. There are multiple challenge programs available as part of the SMM program including the Food Recovery Challenge the Electronics Challenge the Federal Green Challenge and the WasteWise program.,XLSX,,"[environment, recovery, office of land and ..., disposal, recycling, resource conservation, landfill, sustainability, diversion, waste, united states]",U.S. Government Work,,,73,73,,,Sustainable Materials Management (SMM) - Materials and Waste Management in the United States Key Facts and Figures,,https://catalog.data.gov/dataset/sustainable-materials-management-smm-materials-and-waste-management-in-the-united-states-key-f
229,,City of Baltimore,,,Police Emergency and Non-Emergency calls to 911,CSV,,"[911, calls-for-service, emergency, non-emergency, police]",See this page for license information.,,,73,73,,,911 Police Calls for Service,2018-02-18,https://catalog.data.gov/dataset/calls-for-service
230,,"US Census Bureau, Department of Commerce",,,Primary roads are generally divided limited-access highways within the interstate highway system or under State management and are                   distinguished by the presence of interchanges.  These highways are accessible by ramps and may include some toll highways.  The MAF/TIGER Feature                   Classification Code (MTFCC) is S1100 for primary roads.  Secondary roads are main arteries usually in the U.S. Highway State Highway and/or County                   Highway system.  These roads have one or more lanes of traffic in each direction may or may not be divided and usually have at-grade intersections with                   many other roads and driveways.  They usually have both a local name and a route number.  The MAF/TIGER Feature Classification Code (MTFCC) is S1200 for                   secondary roads.              The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the            U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents            a seamless national file with no overlaps or gaps between parts however each TIGER/Line shapefile is designed to stand alone as an independent data            set or they can be combined to cover the entire nation.,TGRSHP (compressed),,"[address range, linear feature, state or equivalent..., united states, roads, road feature, street centerline, u.s.]",U.S. Government Work,,,73,73,,,"TIGER/Line Shapefile, 2015, Series Information for the Primary and Secondary Roads State-based Shapefile",,https://catalog.data.gov/dataset/tiger-line-shapefile-2015-series-information-for-the-primary-and-secondary-roads-state-based-sh
231,,Department of Transportation,,,The Traffic Volume Trends montly report is a natinal data report that provides quality controlled vehicle miles traveled data for each State for all roadways,Excel,,"[aadt, fhwa, traffic-volume-trends, tvt, vehicle-miles-traveled, vmt, volume-data]",See this page for license information.,,,73,73,,,Monthly Traffic Volume Trends,2014-11-19,https://catalog.data.gov/dataset/monthly-traffic-volume-trends-february-2012
232,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,The Global Historical Climatology Network - Daily (GHCN-Daily) dataset integrates daily climate observations from approximately 30 different data sources. Version 3 was released in September 2012 with the addition of data from two additional station networks. Changes to the processing system associated with the version 3 release also allowed for updates to occur 7 days a week rather than only on most weekdays. Version 3 contains station-based measurements from well over 90000 land-based stations worldwide about two thirds of which are for precipitation measurement only. Other meteorological elements include but are not limited to daily maximum and minimum temperature temperature at the time of observation snowfall and snow depth. Over 25000 stations are regularly updated with observations from within roughly the last month. The dataset is also routinely reconstructed (usually every week) from its roughly 30 data sources to ensure that GHCN-Daily is generally in sync with its growing list of constituent sources. During this process quality assurance checks are applied to the full dataset. Where possible GHCN-Daily station data are also updated daily from a variety of data streams. Station values for each daily update also undergo a suite of quality checks.,HTML,,"[atmosphere, noaa onestop project, doc/noaa/nesdis/ncei, earth science, vertical location, precipitation, snow, maximum/minimum tem..., precipitation amount, atmospheric tempera..., national centers fo..., nesdis, noaa, u.s. department of ..., national climatic d..., nesdis, noaa, u.s. department of ..., geographic region, land surface, doc/noaa/nesdis/ncdc, terrestrial hydrosp..., surface temperature, air temperature, snow depth, solid precipitation, snow/ice, global land]",U.S. Government Work,,,73,73,,,"Global Historical Climatology Network - Daily (GHCN-Daily), Version 3",,https://catalog.data.gov/dataset/global-historical-climatology-network-daily-ghcn-daily-version-3
233,,"U.S. Geological Survey, Department of the Interior",,,"The Watershed Boundary Dataset (WBD) from The National Map (TNM) defines the perimeter of drainage areas formed by the terrain and other landscape characteristics. The drainage areas are nested within each other so that a large drainage area such as the Upper Mississippi River will be composed of multiple smaller drainage areas such as the Wisconsin River. Each of these smaller areas can further be subdivided into smaller and smaller drainage areas. The WBD uses six different levels in this hierarchy with the smallest averaging about 30000 acres. The WBD is made up of polygons nested into six levels of data respectively defined by Regions Subregions Basins Subbasins Watersheds and Subwatersheds. For additional information on the WBD go to https//nhd.usgs.gov/wbd.html. The USGS National Hydrography Dataset (NHD) service is a companion dataset to the WBD. The NHD is a comprehensive set of digital spatial data that encodes information about naturally occurring and constructed bodies of surface water (lakes ponds and reservoirs) paths through which water flows (canals ditches streams and rivers) and related entities such as point features (springs wells stream gages and dams). The information encoded about these features includes classification and other characteristics delineation geographic name position and related measures a ""reach code"" through which other information can be related to the NHD and the direction of water flow. The network of reach codes delineating water and transported material flow allows users to trace movement in upstream and downstream directions. In addition to this geographic information the dataset contains metadata that supports the exchange of future updates and improvements to the data. The NHD is available nationwide in two seamless datasets one based on 124000-scale maps and referred to as high resolution NHD and the other based on 1100000-scale maps and referred to as medium resolution NHD. Additional selected areas in the United States are available based on larger scales such as 15000-scale or greater and referred to as local resolution NHD. For more information on the NHD go to https//nhd.usgs.gov/index.html. Hydrography data from The National Map supports many applications such as making maps geocoding observations flow modeling data maintenance and stewardship. Hydrography data is commonly combined with other data themes such as boundaries elevation structures and transportation to produce general reference base maps. The National Map viewer allows free downloads of public domain WBD and NHD data in either Esri File or Personal Geodatabase or Shapefile formats.",WAF,,"[drainage areas for ..., hydrography, point, hu4, hu6, subregion, us, hu2, hu8, line, hu14, subbasin, boundaries, water inland theme, basin, sub-region, hydrographic, hydrologic unit code, huc, drainage systems an..., watershed boundaries, ngda, subwatershed, national geospatial..., watershed boundary ..., administrative wate..., boundary, united states, topographic, region, pointevent, watershed, hu16, wbd, sub-basin, hu12, hu10, hydrologic units]",U.S. Government Work,,,73,73,,,Watershed Boundary Dataset (WBD) - USGS National Map Downloadable Data Collection,,https://catalog.data.gov/dataset/usgs-national-watershed-boundary-dataset-wbd-downloadable-data-collection-national-geospatial-
234,,Department of Commerce,,,The Census of Governments identifies the scope and nature of the nation's state and local governments; provides authoritative benchmark figures on public finance and public employment; classifies local government organizations powers and activities; and measures state and local fiscal relationships.,HTML,,"[abatement, active, administration, administrative, agency, aid, air-transportation, alcohol, amusements, assessments, assets, assistance, auxiliary, benchmark, beneficiaries, benefits, beverages, bond, bonds, bonus, borough, borrowing, buildings, business, capital, cash, categorical, census, charges, cities, city, civilian, classification, classify, collections, commercial, commodities, community, compensation, compulsory, confinement, construction, contributions, convicted, correction, correctional, corrections, costs, counties, county, court, death, debt, defense, dependent, deposits, direct, directory, disability, district, dividends, earnings, education, electric, elementary, employ, employee, employers, employment, enterprise, equipment, expenditure, expense, expenses, federal, finance, fines, fire, fiscal, fish, forestry, forfeits, fuel, full-time, funds, game, gas, gift, government, governmental, governments, grant, health, highway, hospital, housing, inactive, income, independent, inspection, ...]",U.S. Government Work,,,73,73,,,Census of Governments,2014-05-22,https://catalog.data.gov/dataset/census-of-governments
235,,Allegheny County / City of Pittsburgh / Western PA Regional Data Center,,,Employee salaries are a regular Right to Know request the County receives. Here is the disclaimer language that is included with the dataset from the Open Records office  Your request is granted in part and denied in part.  The records that you requested concerning employees under the County Chief Executive and independently elected County Officers is provided with the following exceptions The names of individuals performing undercover or covert law enforcement activities as well as information that would disclose individually identifiable health information are exempt from disclosure under Section 708(b) (6) (iii) and Section 708 (b) (5) respectively.  Thus this information has been deleted from the responsive records attached hereto.  Additionally records related to Court of Common Pleas employees would need to be requested from the Courts’ RTKL Officer.,XLSX,,[local-government],See this page for license information.,,,73,73,,,Allegheny County Employee Salaries 2016,2017-06-14T19:41:04.800787,https://catalog.data.gov/dataset/allegheny-county-employee-salaries-2016
236,,Department of the Interior,,,Several bureaus within the Department of Interior compiled available information from seabird observation datasets from the Atlantic Outer Continental Shelf into a single database with the goal of conducting research and informing coastal and offshore planning activities. The cooperators were the Bureau of Ocean Energy Management's (BOEM) Environmental Studies Program (http//www.boem.gov/Environmental-Stewardship/Environmental-Studies/Environmental-Studies.aspx) the U.S. Fish and Wildlife Service's (USFWS) Division of Migratory Bird Management (http//www.fws.gov/migratorybirds/) and the U.S. Geological Survey's (USGS) Patuxent Wildlife Research Center (http//www.pwrc.usgs.gov). The resulting product is the Atlantic Offshore Seabird Dataset Catalog which characterizes the survey effort and bird observations that have been collected across space and time. Currently the database contains ~60 datasets from 1906-2009 with over 260000 records of seabird observations. Data will initially be provided as summary web mapping services with web feature services (for downloading and looking at single-species data) at the linkage given elsewhere in this document. USAGE Seabirds provide unique challenges even when using estimation techniques to sample populations (e.g. Tasker et al. 1984 Spear et al. 1992). To date there has been little consistency among survey designs. Surveys have varied by the type of vessel from which they are conducted (ship plane) the methodology that counts are made the width of the area being counted and equipment used among many other differences. Under such circumstances comparing results and making inferences can be difficult. Because these estimates of effort-adjusted counts do not account for detection probability they are likely biased by factors that affect this parameter such as weather survey method observer or other environmental variables (MacKenzie et al. 2006). Such results may be considered naïve in that they do not account for factors that can affect the ability to detect an animal. Furthermore these results contain data collected over a 30 year period without regard for any long term temporal changes that may have occurred with species or the environment. Further analysis is necessary to determine if such changes have occurred with any species. While it is possible to separate data collected recently from historical (>20 years old) datasets the amount of recent data is limited and therefore maps showing only these data may be limited spatially. Finally effort calculations do not account for survey width while normally static during a survey can be reduced during certain conditions and does vary by survey method especially boat vs. plan surveys. The vast majority of survey data collected offshore U.S. Atlantic waters were collected using similar techniques and so effort data will not be greatly affected by such discrepancies. Still such differences do exist and were not accounted for; therefore this estimate of survey effort is a rough surrogate for effort. Consequently the effort-adjusted counts will also be affected by differences in survey methodology and should be considered only roughly offset by effort.,Esri REST,,"[atlantic outer cont..., rhode island, atlantic coast, maine, monitoring, new jersey, delaware, north carolina, new york, puerto rico, maryland, biology, virginia, connecticut, massachusetts, regulatory, modeling, marine, vermont, georgia, natural resources, pennsylvania, florida, new hampshire, south carolina]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,72,72,,,Atlantic Offshore Seabird Dataset Catalog,,https://catalog.data.gov/dataset/atlantic-offshore-seabird-dataset-catalog
237,,Department of Veterans Affairs,,,My HealtheVet (www.myhealth.va.gov) is a Personal Health Record portal designed to improve the delivery of health care services to Veterans to promote health and wellness and to engage Veterans as more active participants in their health care. The My HealtheVet portal enables Veterans to create and maintain a web-based PHR that provides access to patient health education information and resources a comprehensive personal health journal and electronic services such as online VA prescription refill requests and Secure Messaging. Veterans can visit the My HealtheVet website and self-register to create an account although registration is not required to view the professionally-sponsored health education resources including topics of special interest to the Veteran population. Once registered Veterans can create a customized PHR that is accessible from any computer with Internet access.,HTML,,"[blue-button, bluebutton, c32, cms, download, ehr, electronic-health-r..., health, mhv, my-healthevet, non-identifiable, nonidentifiable, patient, personal-health-record, phr, sample, va, veteran]",Creative Commons CCZero,,,72,72,,,VA Personal Health Record Sample Data,2012-09-29,https://catalog.data.gov/dataset/va-personal-health-record-non-identifiable-data
238,,Allegheny County / City of Pittsburgh / Western PA Regional Data Center,,,Fatal accidental overdose incidents in Allegheny County denoting age gender race drugs present zip code of incident and zip code of residence.  Zip code of incident is where the Office of the Medical Examiner received the body not necessarily where the overdose occurred.   Data includes closed cases only and the previous calendar year data will be updated monthly until the close of the current calendar year. For example the 2014 resource will be updated monthly until December 2015.,PDF,,"[_etl, accidental, alcohol, alprazolam, cocaine, codeine, death, drugs, etl, fatal, fentanyl, heroin, od, opiate, opioid, overdose, oxycodone]",See this page for license information.,,,72,72,,,Allegheny County Fatal Accidental Overdoses,2018-02-08T15:00:26.869259,https://catalog.data.gov/dataset/allegheny-county-fatal-accidental-overdoses
239,,U.S. Environmental Protection Agency,,,This asset provides data on regional air quality including trace level SO2 nitric acid ozone carbon monoxide and NOy; and particulate sulfate nitrate and ammonium from 1989 to present. Precipitation and meteorology are provided from 1989 to 2011.,HTML,,"[air-quality, carbon-monoxide, castnet, clean-air-status-an..., co, emissions, environment, environmental-prote..., epa, nitrates, nox, oap, oar, office-of-atmospher..., ozone, particulates, so2, sulfates, united-states]",See this page for license information.,,,72,72,,,Regional Air Quality Data,2014-01-01,https://catalog.data.gov/dataset/regional-air-quality-data
240,,Department of Agriculture,,,Food consumption in terms of the Dietary Guidelines for Americans’ food groups is reported for all sources and the total U.S. population as well as by food source children age 2-19 and adults age 20 and older.,XLS,,"[food-consumption, nutrient]",Creative Commons CCZero,,,72,72,,,Food Consumption and Nutrient Intakes,2014-03-19,https://catalog.data.gov/dataset/food-consumption-and-nutrient-intakes
241,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,The Global Forecast System (GFS) is a weather forecast model produced by the National Centers for Environmental Prediction (NCEP). Dozens of atmospheric and land-soil variables are available through this dataset from temperatures winds and precipitation to soil moisture and atmospheric ozone concentration. The entire globe is covered by the GFS at a base horizontal resolution of 18 miles (28 kilometers) between grid points which is used by the operational forecasters who predict weather out to 16 days in the future. Horizontal resolution drops to 44 miles (70 kilometers) between grid point for forecasts between one week and two weeks. The GFS model is a coupled model composed of four separate models (an atmosphere model an ocean model a land/soil model and a sea ice model) which work together to provide an accurate picture of weather conditions. Changes are regularly made to the GFS model to improve its performance and forecast accuracy. This dataset is run four times daily at 00z 06z 12z and 18z out to 192 hours with a 0.5 degree horizontal resolution and a 3 hour temporal resolution.,XML,,"[ocean temperature, atmosphere, precipitation rate, vorticity, snow depth, the noaa operationa..., pressure thickness, h : 50 km - < 100 k..., geopotential height, evaporation, sleet, soils, boundary layer, national centers fo..., nesdis, noaa, u.s. department of ..., doc/noaa/nesdis/ncei, sea level pressure, land use/land cover..., boundary layer winds, longwave radiation, albedo, earth science, humidity, vertical location, atmospheric pressure, doc/noaa/nesdis/ncdc, tropopause, altitude, snow, snow cover, national climatic d..., nesdis, noaa, u.s. department of ..., land surface, atmospheric radiation, solar radiation, atmospheric tempera..., wind profiles, global, sea ice concentration, upper air temperature, precipitable water, sea surface, boundary layer temp..., freezing rain, vertical wind motion, nomads, terrestrial hydrosp..., precipitation amount, oceans, skin temperature, incoming solar radi..., water vapor profiles, liquid precipitation, sea surface tempera..., surface radiative p..., rain, stratosphere, geographic region, precipitation, sea ice, dew point temperature, land use/land cover, atmospheric winds, water vapor, soil moisture/water..., soil temperature, surface temperature, planetary boundary ..., atmospheric pressur..., ice pellets, air temperature, surface winds, atmospheric stability, vegetation index, land cover, surface pressure, solid precipitation, potential temperature, upper level winds, wind shear, snow/ice, troposphere, atmospheric water v..., outgoing longwave r..., convection, shortwave radiation]",U.S. Government Work,,,70,70,,,Global Forecast System (GFS) [0.5 Deg.],,https://catalog.data.gov/dataset/global-forecast-system-gfs-0-5-deg
